"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
2.0,11480.504563967144,3486.1634916693724,199.09828715278564,3488.168418275102,390.50290731094464,36.411834847993575,524.1234950974768,16.82041642746343
2.0,11874.20603627453,8578.613702967064,152.1425683009798,2498.575283619912,373.44705061321304,32.953600580553136,473.9517535914353,12.668840106633173
2.0,12099.528844827822,12207.968308217121,125.15454518862244,1363.6287906318278,384.1223371800573,33.54137743745203,486.7733908035595,15.786773215576037
2.0,11944.469151438287,16134.586674764885,192.88747997237894,4633.438304672532,196.15191899467516,37.506909167748475,934.2201309594035,12.409190388655547
2.0,12191.843900336491,3361.548653030178,137.48363924638417,1452.8436966488866,427.3720521539083,56.84582279232513,1257.9118482131028,29.273015203506436
2.0,12215.560085617348,5817.102135663478,160.21168140503096,3256.7554542822663,484.4049631021098,32.630147831269646,365.9251236073022,10.795318784081738
2.0,12643.274035418863,3733.962792809681,148.7228222480038,2077.6436549966224,421.6866342541563,52.49887686414412,1020.9205188419153,22.26940865579474
2.0,12784.09399202796,4872.598506622391,171.3019179583595,1903.429743841127,479.19685315590175,25.36987453114617,231.49231007486685,16.237878532506524
2.0,13057.831466586844,5363.253387619256,94.09934024341082,837.7302849818049,461.83457896092733,57.06709035464751,1185.4222482778737,23.976129540278517
2.0,13467.064605996637,13665.336591093115,136.3998229242157,1385.1809712252648,275.3176661445654,29.471220784495006,528.2501259370819,16.297534933955756
2.0,13839.356244581197,3700.3164472386893,169.05091052692185,4169.552810135422,351.20543231679056,28.79886356891608,349.16710670413056,8.553230274706719
2.0,14332.915728529411,12373.31776796805,181.05509948147375,1995.7098181462873,292.0718497123989,25.9000129566313,363.9714379111924,17.554552451014306
2.0,14630.937343425141,7620.335712181191,176.68625587282506,2461.635357276034,374.4393945623585,49.66533783846136,1042.4166934357963,25.05722154895119
2.0,14723.293131988432,11665.352775802805,170.27512327223408,2336.894770912498,272.4768861282265,35.450667815467774,746.1249010887182,17.85884236328377
2.0,15048.973884523899,3575.7997690516117,161.08825843227055,2855.014452843378,304.6904082961456,24.98329646994076,334.2516945062127,9.843791272309069
2.0,15451.073103490644,8646.404468949406,144.9901668910874,1448.7276315899405,289.99581491295,28.56894799954896,470.67504759188915,17.051126406402478
2.0,15906.409237429752,7315.373426324088,195.92921916615998,3395.7583803792563,328.1609450509522,42.29617194375816,810.9913491497749,19.233281008951007
3.0,2055.611668361661,13863.276953091827,125.78472358321109,1193.9063471846343,337.50581711997114,29.30135458937087,441.69809700360895,16.01393984029558
3.0,2562.526085138891,11899.159311979163,164.3837718762403,2666.7099483878255,295.0112868702048,32.30112196806526,544.5642157953018,13.540291337903678
3.0,4388.750285810369,8256.517010060923,153.39836990317883,2742.907861405605,289.2071317684336,21.44111870980795,251.6588669878407,8.306556779370322
3.0,4727.600997926029,14509.98290424568,142.3641712006186,2224.666256646113,471.182522489691,55.16770923078668,995.3569687028497,20.053171384286706
3.0,4712.970695142288,15244.807218013915,145.6028817012096,3505.602607164344,485.71242247024946,43.637463938733156,664.023403582656,10.870137809899248
3.0,4820.13568582185,9883.158031828994,189.06406870406775,3136.014802200965,350.5722560464424,53.73843103744833,1216.5645596787933,24.34184428157721
3.0,4956.50043616023,10573.77626031339,192.45864324386187,2051.4909130005476,339.2452627904307,34.107599303008286,572.0987197808083,24.743029784871062
3.0,5244.743165400184,15432.579180655212,194.74743118802934,3630.368472127106,397.3282714200614,42.476556110997144,671.1901075086686,17.890356244751207
3.0,5898.091082929721,7189.224853486898,139.77525051596058,2047.572561772478,390.4555301492313,47.59929044615596,1016.6147875939372,18.24127948401197
3.0,5842.235084752337,11787.46588793899,174.49637399527018,1843.391544325698,314.39631069009704,26.17410510362237,353.93685361285293,17.815853735245817
3.0,6438.599080823365,6516.1601194918,194.45010014163353,2998.358466395091,392.379344881646,46.071305442426635,828.0206945153078,23.19150218348587
3.0,6572.738049693575,6141.197414716102,101.3444097545869,1004.175652289467,447.55411501626617,47.2479653802807,855.5177307310797,19.395297526781597
3.0,6606.6449867331785,16304.099858847414,158.10098084072857,1947.9937153770823,416.26078959412695,41.49299624171076,672.8458038648242,21.36580548624876
3.0,7174.30910572292,8806.050396407672,146.00995111341794,1584.6548671392454,315.8488452056918,22.094531721241015,276.748655296543,12.72171097709623
3.0,7576.225384496964,3421.4037346171863,136.00116676779797,1426.9913142740802,319.5711766983611,49.35834266830693,1194.50062478885,25.454827838344695
3.0,8106.7049014367,10168.937224004316,148.0379669029522,1963.8340097910211,297.93994114752974,31.760316370004706,573.9370419041934,14.615989130886762
3.0,8120.857076781398,16570.17734540336,199.56533022657672,2619.2016798247073,318.8022114808907,36.86283979765257,709.8706224186537,22.53125500504961
3.0,8663.990149181209,2637.2936963889665,140.11100630678712,2958.4174541776956,306.16791833761494,34.88113796555456,601.7819114151421,9.748197868700032
3.0,8325.058619903364,8640.404720253835,187.43604724987338,4937.521591126733,428.3694396320465,67.29269047394178,1677.9312361402767,19.036205064311677
3.0,8877.867703459775,13757.387004919168,151.59100279992583,2184.6810219113854,319.5067795926963,27.538744517581687,402.5532826408129,12.206011682966082
3.0,9270.043695370254,10799.211314923183,181.1513769219466,3712.1655218747405,323.2291847941152,37.16785313185835,662.2955048357073,13.485470328456783
3.0,9627.94382731647,9110.719458737567,160.88688997291908,4032.6309621718674,404.5190786993914,34.7421941247254,456.7922444092301,9.414746008707803
3.0,9592.970174278516,10072.859181534619,193.59961769521698,6121.093244420601,387.98235052205473,38.6639582059458,493.9570899009951,9.875132184796213
3.0,9612.737705671385,13188.34803221038,177.59640985902183,2610.2310834689783,322.93154635507847,32.49701374131893,512.7213481576717,16.082889198932236
3.0,9872.481810944986,5789.537495954165,154.19683646314337,2587.1623200319395,491.5150928129478,28.132580426331327,260.3656140830315,10.970035465944516
3.0,9957.03675194387,15083.406492622255,133.47756339262637,1255.4117830411371,282.565798413464,25.135396850024495,355.9660637031843,14.918199689671424
3.0,10616.464891769117,13902.159904446124,157.12230509496047,2435.757827892829,299.05330182767545,28.227394534074815,443.63805176719427,12.042985000038012
3.0,11016.361416205096,10552.018142086767,157.29319644156274,3648.4292473974665,429.2644178149217,44.664996804386234,683.185928085845,12.375091764811566
3.0,11092.358875001659,9593.714235334126,166.3260932218957,1636.9030290327291,437.7399356563587,35.253672289286214,491.88322605068043,23.943055065270276
3.0,11729.282491365191,15325.306209532297,147.28195958481362,1435.0380997954069,279.52564004670586,26.43894106924762,429.0628962750049,16.539145533257937
3.0,11905.697620846091,8510.944434947009,116.13604830914942,1217.5941829345347,377.2949697875851,35.73457932254153,608.7857539503941,16.156718615604838
3.0,11916.905991509873,16147.24150138965,159.52380800210258,3074.410207812145,219.64221969635048,27.798789278442804,573.4983308298811,9.86610820118596
3.0,12269.732468937778,5826.514774070849,189.47488797332232,3837.486022134572,463.8482217552649,39.27933503061056,464.8320073521681,14.96535285008091
3.0,12418.98848275605,12643.41445725556,139.89304300773176,1867.844703612061,395.7488882352155,61.63766776479988,1438.6711395500456,25.583405350943035
3.0,12552.152446513115,3755.8904380547197,120.35098380348376,1246.5782767723597,419.01647889752155,32.672970368061904,456.566527543995,15.589454953813602
3.0,12506.29595349477,13860.413088433597,194.46406072881973,2618.4717789217902,241.8834451368612,27.84391786814574,530.3460912910641,16.57625124810735
3.0,12789.745546168151,4931.48436240593,181.7990138780273,2692.5561770160843,458.9935763788692,29.914529124924595,317.7970091185947,15.154276744472046
3.0,13132.206869260295,8189.161530545346,157.45620864997204,2348.712119065472,336.4727810256294,30.545496418809766,447.56564721424013,13.39569438153531
3.0,13156.304446674692,6420.808384412049,114.11666015161629,1537.540195637784,473.33657179521174,62.5663157583866,1365.8207352454738,21.069717846616292
3.0,13297.901839132137,14916.651460404491,199.95866949812293,2533.876181059708,150.30545940057817,24.65465274902142,543.2791719510576,16.178879275657955
3.0,13490.895241370621,13655.586170748235,146.27936723800764,1872.1560928054257,256.46715308852055,28.341273340456915,542.7688656743435,13.520572040470059
3.0,13806.842900836324,3702.2569561886794,162.59081282982373,3900.9663952676196,349.7786897683355,25.999990593919698,287.2363408493475,7.811048129258588
3.0,14441.042425623824,10689.248838462348,137.5028859543151,1903.0554986814068,243.1730904357759,28.023382094909117,558.8140823156365,11.756359826253505
3.0,14710.530462327884,11653.972990278256,152.32393344033824,1723.23418886863,274.1980678010983,24.435959906289007,382.970832498223,13.855963962391957
3.0,15504.537546120995,8650.689128150876,147.84459473396876,2106.802679573661,289.0710251368299,31.977296029880065,606.0887631597211,13.72640839507241
3.0,15870.178126485896,7424.380502468665,151.72991257295587,1915.1105982065287,333.8572221484588,38.05786106643276,692.2788732735588,18.50282437860009
4.0,4034.123332381284,13751.86356298862,185.28617735220686,2304.157189106368,403.54797560095614,32.753603109099515,419.69026927942144,19.79306622621413
4.0,4356.260252191607,8243.336806844996,135.15188648454114,2475.252614172,277.70275691251754,24.225064730976104,363.3420804532601,7.98797024200678
4.0,4690.190691611855,14512.878656786354,140.3558437948571,1531.7410739439506,479.0098171414622,49.39530240147045,824.9173151126613,25.278075816867442
4.0,4670.135133614146,15212.808045523014,162.34752240114113,4020.865010524371,464.0870536319989,49.782240811925966,822.0821343682471,13.229840939845152
